Date,1st,2nd,3rd,4th,5th,6th,7th,8th,9th,10th,11th,12th,13th,14th,15th,
10-Jan-20, LAL (31-7), DEN (26-11), LAC (27-12), UTA (26-12), HOU (25-12), DAL (23-15), OKC (22-16), MEM (17-22), SAS (16-21), POR (16-23), MIN (15-22), PHO (15-23), SAC (15-24), NOP (14-25), GSW (9-31),
11-Jan-20, LAL (32-7), LAC (27-12), DEN (26-12) T3, HOU (26-12) T3, UTA (26-12) T3, DAL (24-15), OKC (22-17), MEM (17-22), SAS (16-21), POR (16-24), MIN (15-23) T11, PHO (15-23) T11, SAC (15-24), NOP (14-26), GSW (9-31),
12-Jan-20, LAL (32-7), DEN (27-12) T2, UTA (27-12) T2, HOU (26-12), LAC (27-13), DAL (24-15), OKC (22-17), MEM (18-22), SAS (17-21), PHO (16-23), POR (16-24), MIN (15-23), SAC (15-24), NOP (14-26), GSW (9-32),
13-Jan-20, LAL (33-7), DEN (27-12) T2, UTA (27-12) T2, HOU (26-12), LAC (27-13), DAL (24-15), OKC (23-17), MEM (18-22), SAS (17-21), POR (17-24), PHO (16-23), MIN (15-24), SAC (15-25), NOP (15-26), GSW (9-32),
14-Jan-20, LAL (33-7), UTA (28-12), DEN (27-12), LAC (28-13), HOU (26-13), DAL (25-15), OKC (23-17), MEM (19-22), SAS (17-21), POR (17-24), PHO (16-24), MIN (15-24), SAC (15-25), NOP (15-26), GSW (9-33),
15-Jan-20, LAL (33-8), DEN (28-12) T2, UTA (28-12) T2, LAC (28-13), HOU (26-14), DAL (26-15), OKC (23-18), MEM (19-22), SAS (17-22), POR (18-24), PHO (16-24), MIN (15-25), NOP (15-26) T13, SAC (15-26) T13, GSW (9-33),
16-Jan-20, LAL (33-8), DEN (29-12), LAC (29-13), UTA (28-13), HOU (26-14), DAL (26-15), OKC (23-18), MEM (19-22), SAS (17-22), POR (18-24), PHO (17-24), NOP (16-26), MIN (15-25), SAC (15-26), GSW (9-34),
17-Jan-20, LAL (33-8), DEN (29-12), LAC (29-13), UTA (28-13), HOU (26-14), DAL (27-15), OKC (23-19), MEM (20-22), SAS (17-23), POR (18-25), PHO (17-24), NOP (16-26), MIN (15-26) T13, SAC (15-26) T13, GSW (9-34),
18-Jan-20, LAL (34-8), DEN (29-12), LAC (30-13), UTA (29-13), DAL (27-15), HOU (26-15), OKC (24-19), MEM (20-22), PHO (18-24), SAS (17-23), POR (18-26), NOP (16-27), MIN (15-27) T13, SAC (15-27) T13, GSW (10-34),
19-Jan-20, LAL (34-8), LAC (30-13), DEN (29-13) T3, UTA (29-13) T3, DAL (27-15), HOU (26-15), OKC (24-19), MEM (20-22), SAS (18-23), PHO (18-24), POR (18-26), NOP (16-27), MIN (15-27) T13, SAC (15-27) T13, GSW (10-34),
20-Jan-20, LAL (34-9), DEN (30-13) T2, LAC (30-13) T2, UTA (30-13) T2, DAL (27-15), HOU (26-16), OKC (25-19), MEM (20-23), SAS (19-23), POR (19-26), PHO (18-25), NOP (17-27), MIN (15-28) T13, SAC (15-28) T13, GSW (10-35),
21-Jan-20, LAL (34-9), LAC (31-13), DEN (30-13) T3, UTA (30-13) T3, DAL (27-16), HOU (26-16), OKC (25-19), MEM (20-23), SAS (19-23), POR (19-26), PHO (18-25), NOP (17-27), MIN (15-28) T13, SAC (15-28) T13, GSW (10-35),
22-Jan-20, LAL (35-9), UTA (31-13), LAC (31-14), DEN (30-14), DAL (27-16) T5, HOU (27-16) T5, OKC (26-19), SAS (20-23), MEM (20-24), POR (19-26), PHO (18-26), NOP (17-28), MIN (15-29) T13, SAC (15-29) T13, GSW (10-36),
23-Jan-20, LAL (36-9), UTA (31-13), LAC (31-14), DEN (30-14), DAL (28-16), HOU (27-16), OKC (26-19), SAS (20-23), MEM (20-24), POR (19-27), PHO (18-26), NOP (17-28), MIN (15-29) T13, SAC (15-29) T13, GSW (10-36),
24-Jan-20, LAL (36-9), UTA (31-13), LAC (32-14), DEN (31-14), DAL (28-16) T5, HOU (28-16) T5, OKC (27-19), MEM (21-24), SAS (20-24), PHO (19-26), POR (19-27), NOP (17-29), SAC (16-29), MIN (15-30), GSW (10-37),
25-Jan-20, LAL (36-10), UTA (32-13), LAC (32-14), DEN (31-14), HOU (28-16), DAL (28-17), OKC (28-19), MEM (21-24), SAS (20-24), PHO (19-26), POR (19-27), NOP (17-29), SAC (16-29), MIN (15-31), GSW (10-37),
26-Jan-20, LAL (36-10), UTA (32-13), LAC (33-14), DEN (32-14), DAL (28-17) T5, HOU (28-17) T5, OKC (28-19), MEM (22-24), SAS (20-25), POR (20-27), PHO (19-27), NOP (18-29), SAC (16-29), MIN (15-31), GSW (10-37),
27-Jan-20, LAL (36-10), LAC (33-14), DEN (32-14) T3, UTA (32-14) T3, DAL (29-17) T5, HOU (29-17) T5, OKC (28-20), MEM (22-24), SAS (20-26), POR (20-27), PHO (19-27), NOP (18-29), SAC (17-29), MIN (15-32), GSW (10-37),
28-Jan-20, LAL (36-10), LAC (33-14), UTA (32-14), DEN (32-15), HOU (29-17), DAL (29-18), OKC (28-20), MEM (23-24), SAS (20-26), PHO (20-27) T10, POR (20-27) T10, NOP (19-29), SAC (17-29), MIN (15-32), GSW (10-38),
29-Jan-20, LAL (36-10), LAC (33-14), DEN (32-15) T3, UTA (32-15) T3, DAL (29-18) T5, HOU (29-18) T5, OKC (29-20), MEM (24-24), SAS (21-26), POR (21-27), PHO (20-27), NOP (19-29), SAC (17-30), MIN (15-32), GSW (10-38),
30-Jan-20, LAL (36-10), DEN (33-15) T2, LAC (33-15) T2, UTA (32-16), DAL (29-18) T5, HOU (29-18) T5, OKC (29-20), MEM (24-24), SAS (21-26), POR (21-27), PHO (20-27), NOP (19-29), SAC (18-30), MIN (15-32), GSW (10-39),
